text,label
Your A/c has been credited with 1350₹ by paytm@ybl,1
Debited 2100₹ to recharge@okaxis,0
Received 12000Rs from savings@okaxisbank,0
UPI payment of 300Rs done to abc@okhdfc,0
Transfer of ₹2100 to friend@okicici,0
Debited 75.25Rs to recharge@okaxis,0
Received ₹950.00 from savings@okaxisbank,0
Received 950.00₹ from savings@okaxisbank,1
Received INR50 from savings@okaxisbank,0
875.75₹ sent to utility@oksbi using BHIM,1
Received Rs50 from savings@okaxisbank,1
Transfer of 1350Rs to friend@okicici,1
Credited 12000Rs from wallet@okhdfcbank,1
Received 12000Rs from savings@okaxisbank,1
Received ₹2100 via UPI from salary@okhdfc,1
UPI payment of 425.50INR done to abc@okhdfc,1
Your A/c has been credited with ₹425.50 by paytm@ybl,0
Received INR50 via UPI from salary@okhdfc,1
UPI payment of ₹950.00 done to abc@okhdfc,1
Transfer of 875.75Rs to friend@okicici,1
UPI payment of Rs12000 done to abc@okhdfc,0
Received 999Rs from savings@okaxisbank,0
75.25Rs sent to utility@oksbi using BHIM,1
Received 999INR via UPI from salary@okhdfc,0
Sent INR999 to rent@okaxisbank,1
₹300 sent to utility@oksbi using BHIM,1
UPI payment of Rs1350 done to abc@okhdfc,1
UPI payment of 12000INR done to abc@okhdfc,0
Received 12000₹ from savings@okaxisbank,1
Transfer of 2100₹ to friend@okicici,0
Payment of ₹425.50 made to grocery@okicici,0
Payment of INR950.00 made to grocery@okicici,0
Debited 425.50Rs to recharge@okaxis,0
Debited ₹875.75 to recharge@okaxis,1
Transfer of 875.75INR to friend@okicici,1
Your A/c has been credited with 50Rs by paytm@ybl,1
Received 1350INR via UPI from salary@okhdfc,1
Credited 999₹ from wallet@okhdfcbank,0
Transfer of Rs12000 to friend@okicici,0
Transfer of Rs425.50 to friend@okicici,1
1350₹ sent to utility@oksbi using BHIM,0
Received 75.25Rs via UPI from salary@okhdfc,1
Debited INR300 to recharge@okaxis,0
Your A/c has been credited with ₹1350 by paytm@ybl,1
Payment of ₹999 made to grocery@okicici,0
Sent ₹300 to rent@okaxisbank,0
Payment of 1350INR made to grocery@okicici,0
Your A/c has been credited with 999INR by paytm@ybl,1
Transfer of 1350₹ to friend@okicici,1
Transfer of INR950.00 to friend@okicici,0
2100₹ sent to utility@oksbi using BHIM,1
Received INR12000 via UPI from salary@okhdfc,1
Received Rs300 via UPI from salary@okhdfc,1
UPI payment of 50INR done to abc@okhdfc,0
Transfer of ₹1350 to friend@okicici,1
300INR sent to utility@oksbi using BHIM,1
Payment of 50₹ made to grocery@okicici,1
50₹ sent to utility@oksbi using BHIM,1
Credited 950.00INR from wallet@okhdfcbank,0
Your A/c has been credited with INR300 by paytm@ybl,0
Transfer of Rs425.50 to friend@okicici,0
UPI payment of 999₹ done to abc@okhdfc,0
Credited Rs75.25 from wallet@okhdfcbank,1
Credited Rs75.25 from wallet@okhdfcbank,1
Your A/c has been credited with Rs1350 by paytm@ybl,0
Transfer of 950.00₹ to friend@okicici,1
₹950.00 sent to utility@oksbi using BHIM,1
UPI payment of INR1350 done to abc@okhdfc,0
Received Rs75.25 via UPI from salary@okhdfc,1
Debited 2100INR to recharge@okaxis,0
Transfer of INR1350 to friend@okicici,0
Debited INR999 to recharge@okaxis,1
UPI payment of 1350INR done to abc@okhdfc,0
Your A/c has been credited with 950.00₹ by paytm@ybl,0
₹425.50 sent to utility@oksbi using BHIM,0
Credited Rs1350 from wallet@okhdfcbank,1
UPI payment of 425.50₹ done to abc@okhdfc,0
Sent ₹12000 to rent@okaxisbank,1
UPI payment of 12000Rs done to abc@okhdfc,1
Debited 12000INR to recharge@okaxis,1
Credited 1350INR from wallet@okhdfcbank,1
Payment of 50Rs made to grocery@okicici,1
UPI payment of Rs999 done to abc@okhdfc,1
Credited 300Rs from wallet@okhdfcbank,0
Sent 950.00Rs to rent@okaxisbank,1
Credited 50Rs from wallet@okhdfcbank,1
UPI payment of 1350₹ done to abc@okhdfc,0
Received ₹12000 from savings@okaxisbank,0
Transfer of 1350INR to friend@okicici,1
INR300 sent to utility@oksbi using BHIM,1
Sent 12000INR to rent@okaxisbank,0
Sent 875.75Rs to rent@okaxisbank,1
Received ₹950.00 via UPI from salary@okhdfc,0
Transfer of 1350₹ to friend@okicici,0
Transfer of 875.75INR to friend@okicici,1
Your A/c has been credited with 875.75₹ by paytm@ybl,1
Credited 425.50Rs from wallet@okhdfcbank,1
Your A/c has been credited with ₹1350 by paytm@ybl,1
Your A/c has been credited with 300₹ by paytm@ybl,0
Payment of 950.00Rs made to grocery@okicici,0
UPI payment of ₹300 done to abc@okhdfc,1
Sent ₹950.00 to rent@okaxisbank,1
Credited 300₹ from wallet@okhdfcbank,0
Credited 950.00Rs from wallet@okhdfcbank,0
50₹ sent to utility@oksbi using BHIM,0
Debited INR425.50 to recharge@okaxis,0
Credited INR300 from wallet@okhdfcbank,1
UPI payment of INR75.25 done to abc@okhdfc,0
Payment of 425.50₹ made to grocery@okicici,1
Credited ₹12000 from wallet@okhdfcbank,0
Received Rs75.25 from savings@okaxisbank,0
Credited 950.00Rs from wallet@okhdfcbank,0
Received ₹1350 from savings@okaxisbank,0
UPI payment of 875.75₹ done to abc@okhdfc,0
Debited 12000₹ to recharge@okaxis,1
Debited 75.25INR to recharge@okaxis,0
999₹ sent to utility@oksbi using BHIM,0
Received 950.00INR from savings@okaxisbank,0
₹950.00 sent to utility@oksbi using BHIM,0
Credited 425.50Rs from wallet@okhdfcbank,1
Debited INR1350 to recharge@okaxis,1
INR999 sent to utility@oksbi using BHIM,1
Payment of 300₹ made to grocery@okicici,0
UPI payment of 1350INR done to abc@okhdfc,0
Rs12000 sent to utility@oksbi using BHIM,0
Received 300Rs from savings@okaxisbank,1
Received Rs12000 via UPI from salary@okhdfc,1
Your A/c has been credited with Rs1350 by paytm@ybl,0
Received 1350Rs via UPI from salary@okhdfc,1
Received 999Rs from savings@okaxisbank,1
Payment of INR875.75 made to grocery@okicici,0
Sent 300₹ to rent@okaxisbank,0
UPI payment of ₹2100 done to abc@okhdfc,1
Received 1350Rs via UPI from salary@okhdfc,0
Received 875.75₹ from savings@okaxisbank,0
Received ₹300 via UPI from salary@okhdfc,0
Payment of 875.75Rs made to grocery@okicici,0
Your A/c has been credited with 12000INR by paytm@ybl,1
Transfer of 875.75INR to friend@okicici,0
Credited INR999 from wallet@okhdfcbank,1
Transfer of Rs875.75 to friend@okicici,0
Received INR2100 via UPI from salary@okhdfc,0
Credited Rs300 from wallet@okhdfcbank,1
Transfer of INR1350 to friend@okicici,0
Transfer of ₹425.50 to friend@okicici,0
Rs12000 sent to utility@oksbi using BHIM,1
Sent 75.25₹ to rent@okaxisbank,0
Payment of INR999 made to grocery@okicici,0
UPI payment of 1350₹ done to abc@okhdfc,0
Received 950.00INR from savings@okaxisbank,1
Received ₹2100 from savings@okaxisbank,0
Debited 950.00₹ to recharge@okaxis,0
UPI payment of 950.00₹ done to abc@okhdfc,1
Credited 1350₹ from wallet@okhdfcbank,0
Sent 1350INR to rent@okaxisbank,1
Debited Rs50 to recharge@okaxis,0
2100₹ sent to utility@oksbi using BHIM,0
Debited INR875.75 to recharge@okaxis,0
Credited 999INR from wallet@okhdfcbank,0
Debited Rs1350 to recharge@okaxis,1
Transfer of 999Rs to friend@okicici,1
UPI payment of Rs75.25 done to abc@okhdfc,0
Credited INR875.75 from wallet@okhdfcbank,0
Credited 12000₹ from wallet@okhdfcbank,0
Credited INR875.75 from wallet@okhdfcbank,1
Debited Rs2100 to recharge@okaxis,1
Received 425.50₹ from savings@okaxisbank,1
Credited 425.50INR from wallet@okhdfcbank,0
Credited 999₹ from wallet@okhdfcbank,0
Payment of 1350Rs made to grocery@okicici,0
Transfer of INR999 to friend@okicici,1
Credited 300₹ from wallet@okhdfcbank,1
Received INR50 via UPI from salary@okhdfc,0
875.75Rs sent to utility@oksbi using BHIM,1
Debited Rs2100 to recharge@okaxis,0
Received 950.00₹ via UPI from salary@okhdfc,0
Received 2100INR via UPI from salary@okhdfc,1
Received ₹425.50 via UPI from salary@okhdfc,1
Received 875.75INR from savings@okaxisbank,0
UPI payment of 75.25INR done to abc@okhdfc,1
Received 875.75INR from savings@okaxisbank,1
UPI payment of 425.50INR done to abc@okhdfc,1
UPI payment of 425.50INR done to abc@okhdfc,0
Received 425.50₹ from savings@okaxisbank,1
Payment of 425.50INR made to grocery@okicici,1
Received 12000₹ from savings@okaxisbank,1
Received Rs2100 via UPI from salary@okhdfc,0
Received Rs425.50 via UPI from salary@okhdfc,1
Payment of ₹50 made to grocery@okicici,1
Payment of 75.25INR made to grocery@okicici,0
Credited ₹999 from wallet@okhdfcbank,1
Your A/c has been credited with 875.75Rs by paytm@ybl,0
Received 999Rs via UPI from salary@okhdfc,1
Received 12000Rs via UPI from salary@okhdfc,1
UPI payment of INR425.50 done to abc@okhdfc,0
Your A/c has been credited with 425.50Rs by paytm@ybl,0
Received ₹999 via UPI from salary@okhdfc,0
Received 50Rs from savings@okaxisbank,1
Sent Rs300 to rent@okaxisbank,1
Credited 50INR from wallet@okhdfcbank,1
Received ₹75.25 from savings@okaxisbank,1
Payment of ₹950.00 made to grocery@okicici,0
Transfer of ₹425.50 to friend@okicici,1
Credited 12000INR from wallet@okhdfcbank,1
Credited ₹75.25 from wallet@okhdfcbank,1
Payment of Rs999 made to grocery@okicici,1
Received ₹425.50 via UPI from salary@okhdfc,0
Your A/c has been credited with ₹300 by paytm@ybl,0
Payment of Rs950.00 made to grocery@okicici,0
Received 1350₹ via UPI from salary@okhdfc,0
Debited ₹300 to recharge@okaxis,1
Credited 12000₹ from wallet@okhdfcbank,0
Sent 425.50Rs to rent@okaxisbank,1
Rs999 sent to utility@oksbi using BHIM,0
Payment of INR75.25 made to grocery@okicici,0
Credited Rs12000 from wallet@okhdfcbank,0
Payment of INR75.25 made to grocery@okicici,1
Payment of 1350INR made to grocery@okicici,0
Received INR875.75 via UPI from salary@okhdfc,1
Your A/c has been credited with 999Rs by paytm@ybl,0
UPI payment of 999Rs done to abc@okhdfc,1
Credited INR75.25 from wallet@okhdfcbank,1
UPI payment of 875.75INR done to abc@okhdfc,0
Received 999₹ from savings@okaxisbank,0
Sent 875.75₹ to rent@okaxisbank,0
Payment of 875.75Rs made to grocery@okicici,0
₹2100 sent to utility@oksbi using BHIM,0
Debited 12000Rs to recharge@okaxis,0
Payment of Rs12000 made to grocery@okicici,1
Rs1350 sent to utility@oksbi using BHIM,1
Credited 875.75Rs from wallet@okhdfcbank,1
Received Rs425.50 from savings@okaxisbank,0
Received 1350Rs from savings@okaxisbank,1
Your A/c has been credited with INR12000 by paytm@ybl,0
Debited ₹50 to recharge@okaxis,0
Sent ₹75.25 to rent@okaxisbank,0
Credited ₹425.50 from wallet@okhdfcbank,0
Sent 425.50INR to rent@okaxisbank,0
Your A/c has been credited with ₹50 by paytm@ybl,1
Rs875.75 sent to utility@oksbi using BHIM,1
Debited ₹999 to recharge@okaxis,0
Payment of 12000₹ made to grocery@okicici,0
425.50INR sent to utility@oksbi using BHIM,1
Sent 999INR to rent@okaxisbank,1
Debited Rs2100 to recharge@okaxis,0
Transfer of ₹2100 to friend@okicici,0
UPI payment of 2100INR done to abc@okhdfc,1
Payment of 300Rs made to grocery@okicici,0
INR999 sent to utility@oksbi using BHIM,0
UPI payment of ₹875.75 done to abc@okhdfc,1
Your A/c has been credited with INR950.00 by paytm@ybl,0
Credited 2100Rs from wallet@okhdfcbank,1
Received 1350₹ from savings@okaxisbank,1
Payment of 2100INR made to grocery@okicici,0
Received INR999 via UPI from salary@okhdfc,0
Payment of 875.75INR made to grocery@okicici,0
Your A/c has been credited with Rs1350 by paytm@ybl,0
UPI payment of 1350₹ done to abc@okhdfc,0
Your A/c has been credited with INR2100 by paytm@ybl,1
Transfer of 999₹ to friend@okicici,0
UPI payment of 425.50₹ done to abc@okhdfc,0
999₹ sent to utility@oksbi using BHIM,0
Your A/c has been credited with INR50 by paytm@ybl,0
Received 999INR via UPI from salary@okhdfc,0
UPI payment of 425.50INR done to abc@okhdfc,1
Transfer of 75.25Rs to friend@okicici,1
Sent 12000₹ to rent@okaxisbank,0
Transfer of Rs1350 to friend@okicici,1
Transfer of 425.50Rs to friend@okicici,0
Sent 999INR to rent@okaxisbank,0
Payment of 1350₹ made to grocery@okicici,0
Sent ₹50 to rent@okaxisbank,0
Received 950.00Rs via UPI from salary@okhdfc,1
Your A/c has been credited with 950.00Rs by paytm@ybl,1
Credited Rs1350 from wallet@okhdfcbank,1
999Rs sent to utility@oksbi using BHIM,0
Your A/c has been credited with ₹875.75 by paytm@ybl,0
Received Rs300 from savings@okaxisbank,0
UPI payment of INR950.00 done to abc@okhdfc,0
Credited INR950.00 from wallet@okhdfcbank,1
Credited 75.25INR from wallet@okhdfcbank,1
₹950.00 sent to utility@oksbi using BHIM,0
Received Rs950.00 via UPI from salary@okhdfc,0
Credited INR2100 from wallet@okhdfcbank,0
Your A/c has been credited with ₹300 by paytm@ybl,0
Debited INR12000 to recharge@okaxis,1
Transfer of ₹425.50 to friend@okicici,1
Credited INR950.00 from wallet@okhdfcbank,1
Received 875.75INR via UPI from salary@okhdfc,0
Debited INR875.75 to recharge@okaxis,0
Debited Rs999 to recharge@okaxis,1
Transfer of 875.75INR to friend@okicici,1
Credited INR75.25 from wallet@okhdfcbank,1
Your A/c has been credited with Rs999 by paytm@ybl,0
Debited 75.25INR to recharge@okaxis,0
Sent ₹75.25 to rent@okaxisbank,0
Payment of INR950.00 made to grocery@okicici,0
Transfer of 75.25INR to friend@okicici,0
Credited 2100INR from wallet@okhdfcbank,1
Transfer of 300Rs to friend@okicici,0
Debited 950.00Rs to recharge@okaxis,1
Your A/c has been credited with Rs75.25 by paytm@ybl,1
UPI payment of 75.25₹ done to abc@okhdfc,1
Payment of INR50 made to grocery@okicici,1
Your A/c has been credited with INR50 by paytm@ybl,0
Received Rs950.00 from savings@okaxisbank,0
Received ₹425.50 from savings@okaxisbank,1
Transfer of 12000INR to friend@okicici,1
Received 999₹ via UPI from salary@okhdfc,1
Sent ₹50 to rent@okaxisbank,1
Rs1350 sent to utility@oksbi using BHIM,0
875.75INR sent to utility@oksbi using BHIM,0
Received 12000Rs from savings@okaxisbank,0
Received 875.75₹ from savings@okaxisbank,1
Received INR2100 from savings@okaxisbank,1
₹2100 sent to utility@oksbi using BHIM,0
UPI payment of INR425.50 done to abc@okhdfc,1
Transfer of 12000₹ to friend@okicici,1
Transfer of Rs12000 to friend@okicici,1
Received Rs875.75 from savings@okaxisbank,1
Received 300₹ via UPI from salary@okhdfc,1
UPI payment of 2100Rs done to abc@okhdfc,1
Received 50INR from savings@okaxisbank,1
Payment of 300₹ made to grocery@okicici,1
UPI payment of INR1350 done to abc@okhdfc,0
Debited ₹75.25 to recharge@okaxis,0
Payment of ₹50 made to grocery@okicici,0
Your A/c has been credited with ₹425.50 by paytm@ybl,1
Sent Rs2100 to rent@okaxisbank,1
Received INR2100 from savings@okaxisbank,0
Transfer of Rs999 to friend@okicici,0
Sent ₹75.25 to rent@okaxisbank,0
Credited 875.75INR from wallet@okhdfcbank,0
UPI payment of INR50 done to abc@okhdfc,1
Debited 999INR to recharge@okaxis,0
₹300 sent to utility@oksbi using BHIM,0
Received Rs1350 via UPI from salary@okhdfc,0
999₹ sent to utility@oksbi using BHIM,0
Received 999INR via UPI from salary@okhdfc,0
Credited ₹950.00 from wallet@okhdfcbank,0
Received Rs50 from savings@okaxisbank,1
Your A/c has been credited with 425.50INR by paytm@ybl,1
Sent ₹950.00 to rent@okaxisbank,0
Credited ₹2100 from wallet@okhdfcbank,1
Received INR425.50 via UPI from salary@okhdfc,1
Received ₹875.75 via UPI from salary@okhdfc,1
1350₹ sent to utility@oksbi using BHIM,1
Your A/c has been credited with 2100INR by paytm@ybl,1
UPI payment of 875.75₹ done to abc@okhdfc,0
₹50 sent to utility@oksbi using BHIM,1
₹950.00 sent to utility@oksbi using BHIM,0
Payment of Rs12000 made to grocery@okicici,1
Debited 875.75₹ to recharge@okaxis,1
2100INR sent to utility@oksbi using BHIM,0
Payment of ₹950.00 made to grocery@okicici,1
Your A/c has been credited with 999INR by paytm@ybl,0
Debited INR425.50 to recharge@okaxis,1
Credited 1350INR from wallet@okhdfcbank,1
Credited Rs2100 from wallet@okhdfcbank,1
Received 875.75Rs via UPI from salary@okhdfc,1
Payment of Rs1350 made to grocery@okicici,1
Received ₹1350 from savings@okaxisbank,1
Transfer of 2100₹ to friend@okicici,1
Payment of 875.75Rs made to grocery@okicici,0
Sent 999₹ to rent@okaxisbank,1
Credited INR300 from wallet@okhdfcbank,0
Credited 950.00Rs from wallet@okhdfcbank,0
Transfer of INR875.75 to friend@okicici,0
UPI payment of Rs2100 done to abc@okhdfc,0
Received INR425.50 via UPI from salary@okhdfc,1
Payment of 1350Rs made to grocery@okicici,1
UPI payment of 300INR done to abc@okhdfc,1
Your A/c has been credited with 950.00INR by paytm@ybl,0
Credited 50Rs from wallet@okhdfcbank,0
Received ₹1350 via UPI from salary@okhdfc,1
Received Rs2100 via UPI from salary@okhdfc,1
Transfer of INR75.25 to friend@okicici,0
Payment of 425.50₹ made to grocery@okicici,0
Received ₹999 via UPI from salary@okhdfc,1
Received 1350Rs via UPI from salary@okhdfc,1
Credited ₹875.75 from wallet@okhdfcbank,1
Received 999INR via UPI from salary@okhdfc,1
Credited Rs12000 from wallet@okhdfcbank,1
Received Rs1350 from savings@okaxisbank,0
Received 12000Rs via UPI from salary@okhdfc,0
Transfer of 1350₹ to friend@okicici,1
Received 50INR via UPI from salary@okhdfc,0
Received 1350₹ from savings@okaxisbank,1
INR950.00 sent to utility@oksbi using BHIM,0
Your A/c has been credited with 75.25INR by paytm@ybl,1
Your A/c has been credited with INR875.75 by paytm@ybl,0
Debited Rs12000 to recharge@okaxis,1
Debited 300INR to recharge@okaxis,1
Transfer of 425.50Rs to friend@okicici,1
Rs875.75 sent to utility@oksbi using BHIM,0
Received INR425.50 via UPI from salary@okhdfc,1
Your A/c has been credited with 300Rs by paytm@ybl,1
Payment of 2100₹ made to grocery@okicici,1
Received Rs1350 via UPI from salary@okhdfc,1
UPI payment of 1350₹ done to abc@okhdfc,1
UPI payment of 2100Rs done to abc@okhdfc,0
Debited 999INR to recharge@okaxis,0
75.25₹ sent to utility@oksbi using BHIM,1
Your A/c has been credited with 425.50INR by paytm@ybl,1
Received INR300 via UPI from salary@okhdfc,1
Received 50INR via UPI from salary@okhdfc,0
Credited 425.50INR from wallet@okhdfcbank,1
Your A/c has been credited with 2100₹ by paytm@ybl,1
Rs50 sent to utility@oksbi using BHIM,1
Sent INR1350 to rent@okaxisbank,0
Transfer of ₹1350 to friend@okicici,1
Credited 300INR from wallet@okhdfcbank,1
Received 425.50INR from savings@okaxisbank,1
Received ₹875.75 via UPI from salary@okhdfc,1
Credited INR875.75 from wallet@okhdfcbank,1
Received 875.75₹ from savings@okaxisbank,1
Payment of INR1350 made to grocery@okicici,0
Sent 300INR to rent@okaxisbank,0
Sent 12000INR to rent@okaxisbank,1
Debited INR75.25 to recharge@okaxis,1
Credited 425.50Rs from wallet@okhdfcbank,1
Debited 300Rs to recharge@okaxis,0
Your A/c has been credited with Rs2100 by paytm@ybl,0
Received ₹425.50 via UPI from salary@okhdfc,0
Debited ₹12000 to recharge@okaxis,0
Transfer of Rs50 to friend@okicici,0
Sent 12000Rs to rent@okaxisbank,1
Transfer of 75.25₹ to friend@okicici,0
UPI payment of Rs50 done to abc@okhdfc,1
Debited Rs999 to recharge@okaxis,0
₹2100 sent to utility@oksbi using BHIM,0
Debited 950.00₹ to recharge@okaxis,0
Sent 75.25INR to rent@okaxisbank,0
Debited Rs2100 to recharge@okaxis,1
Received 12000₹ via UPI from salary@okhdfc,1
Received 425.50₹ via UPI from salary@okhdfc,0
Received 50Rs via UPI from salary@okhdfc,0
₹75.25 sent to utility@oksbi using BHIM,1
425.50₹ sent to utility@oksbi using BHIM,0
Received 950.00INR via UPI from salary@okhdfc,0
Transfer of 425.50INR to friend@okicici,1
Transfer of 425.50Rs to friend@okicici,0
Payment of ₹1350 made to grocery@okicici,1
Payment of 1350₹ made to grocery@okicici,0
Transfer of 300INR to friend@okicici,0
Sent 300₹ to rent@okaxisbank,0
Credited Rs300 from wallet@okhdfcbank,0
Rs50 sent to utility@oksbi using BHIM,0
Sent 999INR to rent@okaxisbank,1
300₹ sent to utility@oksbi using BHIM,1
Sent Rs2100 to rent@okaxisbank,1
UPI payment of ₹12000 done to abc@okhdfc,0
Debited INR950.00 to recharge@okaxis,1
Credited 950.00INR from wallet@okhdfcbank,1
Transfer of ₹425.50 to friend@okicici,1
Debited 75.25INR to recharge@okaxis,1
Your A/c has been credited with Rs12000 by paytm@ybl,0
Payment of 12000₹ made to grocery@okicici,0
Received 50₹ via UPI from salary@okhdfc,1
Sent ₹300 to rent@okaxisbank,0
Credited Rs875.75 from wallet@okhdfcbank,0
Sent 950.00Rs to rent@okaxisbank,0
Received 300₹ via UPI from salary@okhdfc,1
Your A/c has been credited with ₹999 by paytm@ybl,1
Payment of 875.75₹ made to grocery@okicici,0
Received ₹75.25 from savings@okaxisbank,1
Credited INR2100 from wallet@okhdfcbank,1
Credited 75.25INR from wallet@okhdfcbank,1
Received INR50 via UPI from salary@okhdfc,1
Credited ₹950.00 from wallet@okhdfcbank,0
Sent INR425.50 to rent@okaxisbank,1
Credited 999INR from wallet@okhdfcbank,1
Debited 950.00₹ to recharge@okaxis,0
Credited Rs1350 from wallet@okhdfcbank,1
Received ₹300 via UPI from salary@okhdfc,0
Received ₹875.75 from savings@okaxisbank,1
Payment of 2100INR made to grocery@okicici,0
Debited 12000Rs to recharge@okaxis,0
Transfer of Rs875.75 to friend@okicici,1
Debited 50INR to recharge@okaxis,1
UPI payment of 875.75₹ done to abc@okhdfc,0
UPI payment of 75.25INR done to abc@okhdfc,1
Credited 50Rs from wallet@okhdfcbank,0
Transfer of 50₹ to friend@okicici,0
Debited 300₹ to recharge@okaxis,0
UPI payment of ₹999 done to abc@okhdfc,1
Credited INR999 from wallet@okhdfcbank,0
Credited Rs950.00 from wallet@okhdfcbank,1
INR12000 sent to utility@oksbi using BHIM,0
Your A/c has been credited with 300₹ by paytm@ybl,0
Transfer of 875.75₹ to friend@okicici,0
Sent INR75.25 to rent@okaxisbank,0
Your A/c has been credited with ₹75.25 by paytm@ybl,0
Your A/c has been credited with 50INR by paytm@ybl,0
Sent INR425.50 to rent@okaxisbank,1
Transfer of INR425.50 to friend@okicici,1
Payment of Rs12000 made to grocery@okicici,0
INR875.75 sent to utility@oksbi using BHIM,1
UPI payment of 2100INR done to abc@okhdfc,0
Credited 950.00INR from wallet@okhdfcbank,0
Received 1350INR via UPI from salary@okhdfc,1
Debited INR2100 to recharge@okaxis,1
Payment of ₹2100 made to grocery@okicici,1
Transfer of ₹875.75 to friend@okicici,1
UPI payment of ₹12000 done to abc@okhdfc,1
Received Rs75.25 via UPI from salary@okhdfc,1
1350Rs sent to utility@oksbi using BHIM,1
Rs425.50 sent to utility@oksbi using BHIM,1
Your A/c has been credited with Rs875.75 by paytm@ybl,0
Sent 75.25Rs to rent@okaxisbank,0
Debited 75.25Rs to recharge@okaxis,0
Received 875.75₹ from savings@okaxisbank,1
Received 12000INR via UPI from salary@okhdfc,1
UPI payment of 50₹ done to abc@okhdfc,1
Sent 12000₹ to rent@okaxisbank,1
UPI payment of 425.50Rs done to abc@okhdfc,1
